计算机科学与技术,1,乒乓球(三)及格,1104,104,2016-2017,1,(2016-2017-1)-15306-112076-5,乒乓球(三),112076,必修,1,及格,0,信息科学与工程学院,计算机科学与技术,卓计本1501
计算机科学与技术,1,操作系统良好,1104,104,2016-2017,1,(2016-2017-1)-161110203-111035-1,操作系统,111035,必修,5,良好,0,信息科学与工程学院,计算机科学与技术,卓计本1501
计算机科学与技术,1,教育心理学中等,1104,104,2016-2017,2,(2016-2017-2)-162500001-616077-1,教育心理学,616077,必修,2,中等,0,信息科学与工程学院,计算机科学与技术,卓计本1501
计算机科学与技术,1,数据库概论良好,1104,104,2016-2017,2,(2016-2017-2)-161110205-111123-1,数据库概论,111123,必修,4,良好,0,信息科学与工程学院,计算机科学与技术,卓计本1501
计算机科学与技术,1,现代教育技术中等,1104,104,2016-2017,2,(2016-2017-2)-161200001-115043-3,现代教育技术,115043,必修,2.5,中等,0,信息科学与工程学院,计算机科学与技术,卓计本1501
计算机科学与技术,1,毛泽东思想和中国特色社会主义理论体系概论中等,1104,104,2016-2017,2,(2016-2017-2)-160200004-120032-6,毛泽东思想和中国特色社会主义理论体系概论,104095,必修,6,中等,0,信息科学与工程学院,计算机科学与技术,卓计本1501
计算机科学与技术,1,教育学基础良好,1104,104,2016-2017,2,(2016-2017-2)-160400001-616008-3,教育学基础,616008,必修,2,良好,0,信息科学与工程学院,计算机科学与技术,卓计本1501
计算机科学与技术,1,乒乓球(四)中等,1104,104,2016-2017,2,(2016-2017-2)-15406-112076-2,乒乓球(四),112076,必修,1,中等,0,信息科学与工程学院,计算机科学与技术,卓计本1501
计算机科学与技术,1,概率统计良好,1104,104,2016-2017,2,(2016-2017-2)-161100105-215005-1,概率统计,215005,必修,4,良好,0,信息科学与工程学院,计算机科学与技术,卓计本1501
计算机科学与技术,1,计算机网络中等,1104,104,2017-2018,1,(2017-2018-1)-161110206-215008-1,计算机网络,215008,必修,4,中等,0,信息科学与工程学院,计算机科学与技术,卓计本1501
计算机科学与技术,1,算法分析与设计中等,1104,104,2017-2018,1,(2017-2018-1)-161130306-215002-1,算法分析与设计,215002,必修,3,中等,0,信息科学与工程学院,计算机科学与技术,卓计本1501
计算机科学与技术,1,课程与教学论良好,1104,104,2017-2018,1,(2017-2018-1)-163000002-W04w26-5,课程与教学论,615118,必修,1,良好,0,信息科学与工程学院,计算机科学与技术,卓计本1501
计算机科学与技术,1,教师职业道德规范中等,1104,104,2017-2018,1,(2017-2018-1)-163000001-W04w25-7,教师职业道德规范,615070,必修,1,中等,0,信息科学与工程学院,计算机科学与技术,卓计本1501
计算机科学与技术,1,计算机组成原理中等,1104,104,2017-2018,1,(2017-2018-1)-161110207-111107-1,计算机组成原理,111107,必修,4,中等,0,信息科学与工程学院,计算机科学与技术,卓计本1501
